currency,code,mid,effectiveDate
nowy manat (Turkmenistan),TMT,1.1321,2023-07-20
ouguiya (Mauretania),MRU,0.1081,2023-07-20
pa'anga (Tonga),TOP,1.7047,2023-07-20
pataca (Makau),MOP,0.4927,2023-07-20
peso argentyńskie,ARS,0.0148,2023-07-20
peso dominikańskie,DOP,0.0707,2023-07-20
peso kolumbijskie,COP,0.000992,2023-07-20
peso kubańskie,CUP,3.9612,2023-07-20
peso urugwajskie,UYU,0.1041,2023-07-20
pula (Botswana),BWP,0.3028,2023-07-20
quetzal (Gwatemala),GTQ,0.5048,2023-07-20
rial irański,IRR,9.4e-05,2023-07-20
rial jemeński,YER,0.01584,2023-07-20
rial katarski,QAR,1.0878,2023-07-20
rial omański,OMR,10.3068,2023-07-20
rial saudyjski,SAR,1.0564,2023-07-20
riel (Kambodża),KHR,0.00096,2023-07-20
rubel białoruski,BYN,1.2955,2023-07-20
rubel rosyjski,RUB,0.0434,2023-07-20
rupia lankijska,LKR,0.01226,2023-07-20
rupia (Malediwy),MVR,0.2563,2023-07-20
rupia Mauritiusu,MUR,0.0875,2023-07-20
rupia nepalska,NPR,0.030163,2023-07-20
rupia pakistańska,PKR,0.0141,2023-07-20
rupia seszelska,SCR,0.2963,2023-07-20
sol (Peru),PEN,1.1081,2023-07-20
som (Kirgistan),KGS,0.0451,2023-07-20
somoni (Tadżykistan),TJS,0.362,2023-07-20
sum (Uzbekistan),UZS,0.000341,2023-07-20
szyling kenijski,KES,0.027967,2023-07-20
szyling somalijski,SOS,0.006959,2023-07-20
szyling tanzański,TZS,0.001618,2023-07-20
szyling ugandyjski,UGX,0.00108,2023-07-20
taka (Bangladesz),BDT,0.036508,2023-07-20
tala (Samoa),WST,1.466,2023-07-20
tenge (Kazachstan),KZT,0.008908,2023-07-20
tugrik (Mongolia),MNT,0.001149,2023-07-20
vatu (Vanuatu),VUV,0.03364,2023-07-20
wymienialna marka (Bośnia i Hercegowina),BAM,2.2694,2023-07-20
